# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'task-clock'
# Event count (approx.): 58808080220
#
# Overhead  Command          Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .................................................  ..............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.12%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409ef3
     0.12%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d3cb
     0.12%  VLLM::EngineCor  python3.10                                         [.] _PyObject_GetMethod
     0.10%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000cf4
     0.10%  VLLM::EngineCor  libc.so.6                                          [.] pthread_rwlock_unlock@@GLIBC_2.34
     0.10%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] clock_gettime@plt
     0.10%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f0d3
     0.10%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000025dde0
     0.10%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000040760e
     0.10%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000040a168
     0.10%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000040a320
     0.10%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2d8
     0.10%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000173b27
     0.10%  vllm             python3.10                                         [.] _PyObject_GenericGetAttrWithDict
     0.09%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000025de63
     0.09%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000031bcab
     0.09%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004075aa
     0.09%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000046188b
     0.09%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618da
     0.09%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000461997
     0.09%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d352
     0.09%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d3f8
     0.09%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d680
     0.07%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000bde
     0.07%  VLLM::EngineCor  [vdso]                                             [.] 0x0000000000000cd1
     0.07%  VLLM::EngineCor  libc.so.6                                          [.] epoll_wait
     0.07%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000021f08f
     0.07%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000031bcb4
     0.07%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000031bcd2
     0.07%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000031bcd5
     0.07%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409efe
     0.07%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409f39
     0.07%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d34b
     0.07%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d3dc
     0.07%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d648
     0.07%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000152a6a
     0.07%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000173be6
