# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 51K of event 'task-clock'
# Event count (approx.): 260417052875
#
# Overhead  Command  Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  python   _backend_agg.cpython-310-x86_64-linux-gnu.so       [.] void agg::render_scanlines<agg::rasterizer_scanline_aa<agg::rasterizer_sl_clip<agg::ras_conv_dbl> >, agg::scanline32_p8, agg::renderer_scanline_aa_solid<agg::renderer_base<agg::pixfmt_alpha_blend_rgba<fixed_blender_rgba_plain<agg::rgba8T<agg::linear>, agg::order_rgba>, agg::row_accessor<unsigned char> > > > >(agg::rasterizer_scanline_aa<agg::rasterizer_sl_clip<agg::ras_conv_dbl> >&, agg::scanline32_p8&, agg::renderer_scanline_aa_solid<agg::renderer_base<agg::pixfmt_alpha_blend_rgba<fixed_blender_rgba_plain<agg::rgba8T<agg::linear>, agg::order_rgba>, agg::row_accessor<unsigned char> > > >&)
     0.02%  python   libc.so.6                                          [.] __strchr_evex
     0.02%  python   python3.10                                         [.] PyContextVar_Get
     0.02%  python   python3.10                                         [.] PyLong_FromUnsignedLong
     0.02%  python   python3.10                                         [.] PyObject_GetItem
     0.02%  python   python3.10                                         [.] memcpy@plt
     0.02%  python   python3.10                                         [.] 0x0000000000152a18
     0.02%  python   python3.10                                         [.] 0x0000000000152a63
     0.02%  python   python3.10                                         [.] 0x0000000000152b80
     0.02%  python   python3.10                                         [.] 0x000000000015a05e
     0.02%  python   python3.10                                         [.] 0x000000000015ccbc
     0.02%  python   python3.10                                         [.] 0x000000000015ccc3
     0.02%  python   python3.10                                         [.] 0x000000000015ce5a
     0.02%  python   python3.10                                         [.] 0x000000000015d6e0
     0.02%  python   python3.10                                         [.] 0x000000000015e020
     0.02%  python   python3.10                                         [.] 0x000000000015e498
     0.02%  python   python3.10                                         [.] 0x0000000000173b4c
     0.02%  python   python3.10                                         [.] 0x0000000000185383
     0.02%  python   python3.10                                         [.] 0x000000000022038b
     0.01%  python   [kernel.kallsyms]                                  [k] folio_add_lru
     0.01%  python   [kernel.kallsyms]                                  [k] folio_add_new_anon_rmap
     0.01%  python   [kernel.kallsyms]                                  [k] link_path_walk.part.0.constprop.0
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_FromAny_int
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyUFunc_DefaultLegacyInnerLoopSelector
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyUFunc_GenericReduction
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] prepare_index
     0.01%  python   libc.so.6                                          [.] __GI___pthread_self
     0.01%  python   libc.so.6                                          [.] __parse_one_specmb
     0.01%  python   libc.so.6                                          [.] malloc_consolidate
     0.01%  python   libc.so.6                                          [.] printf_positional
     0.01%  python   python3.10                                         [.] PyDict_New
     0.01%  python   python3.10                                         [.] PyErr_Occurred
     0.01%  python   python3.10                                         [.] PyObject_Hash
     0.01%  python   python3.10                                         [.] PyUnicode_Contains
     0.01%  python   python3.10                                         [.] 0x0000000000152a66
     0.01%  python   python3.10                                         [.] 0x0000000000152b87
     0.01%  python   python3.10                                         [.] 0x0000000000153c9d
     0.01%  python   python3.10                                         [.] 0x000000000015af55
     0.01%  python   python3.10                                         [.] 0x000000000015b012
     0.01%  python   python3.10                                         [.] 0x000000000015d238
     0.01%  python   python3.10                                         [.] 0x000000000015dc73
     0.01%  python   python3.10                                         [.] 0x000000000015e067
     0.01%  python   python3.10                                         [.] 0x000000000015e5c4
     0.01%  python   python3.10                                         [.] 0x000000000015ee41
     0.01%  python   python3.10                                         [.] 0x0000000000169771
     0.01%  python   python3.10                                         [.] 0x0000000000173aec
     0.01%  python   python3.10                                         [.] 0x0000000000180bc2
     0.01%  python   python3.10                                         [.] 0x000000000018532b
     0.01%  python   python3.10                                         [.] 0x000000000018d0fd
     0.01%  python   python3.10                                         [.] 0x000000000018d510
     0.01%  python   python3.10                                         [.] 0x00000000002205c9
     0.01%  python   python3.10                                         [.] 0x0000000000220760
     0.01%  python   [kernel.kallsyms]                                  [k] __mod_memcg_lruvec_state
     0.01%  python   [kernel.kallsyms]                                  [k] __mod_node_page_state
     0.01%  python   [kernel.kallsyms]                                  [k] __rcu_read_unlock
     0.01%  python   [kernel.kallsyms]                                  [k] blk_cgroup_congested
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] _npy_parse_arguments
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] promote_and_get_info_and_ufuncimpl(_tagPyUFuncObject*, tagPyArrayObject* const*, PyArray_DTypeMeta**, PyArray_DTypeMeta**, unsigned char)
     0.01%  python   libc.so.6                                          [.] __GI___fstatat64
     0.01%  python   libcrypto.so.3                                     [.] 0x00000000001c2988
     0.01%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000018b18
     0.01%  python   libm.so.6                                          [.] fetestexcept
     0.01%  python   python3.10                                         [.] PyLong_FromLong
     0.01%  python   python3.10                                         [.] _PyErr_SetObject
     0.01%  python   python3.10                                         [.] 0x000000000015258e
     0.01%  python   python3.10                                         [.] 0x0000000000152a14
     0.01%  python   python3.10                                         [.] 0x000000000015ae76
     0.01%  python   python3.10                                         [.] 0x000000000015af09
     0.01%  python   python3.10                                         [.] 0x000000000015cdbf
     0.01%  python   python3.10                                         [.] 0x000000000015ce5e
     0.01%  python   python3.10                                         [.] 0x000000000015d70d
     0.01%  python   python3.10                                         [.] 0x000000000015de3a
     0.01%  python   python3.10                                         [.] 0x000000000015e06e
     0.01%  python   python3.10                                         [.] 0x0000000000168a1c
     0.01%  python   python3.10                                         [.] 0x0000000000169768
     0.01%  python   python3.10                                         [.] 0x0000000000169780
     0.01%  python   python3.10                                         [.] 0x000000000016d305
     0.01%  python   python3.10                                         [.] 0x0000000000171d64
     0.01%  python   python3.10                                         [.] 0x0000000000173af2
     0.01%  python   python3.10                                         [.] 0x0000000000184fbb
     0.01%  python   python3.10                                         [.] 0x0000000000184fdd
     0.01%  python   python3.10                                         [.] 0x0000000000185009
     0.01%  python   python3.10                                         [.] 0x0000000000185016
     0.01%  python   python3.10                                         [.] 0x0000000000185370
     0.01%  python   python3.10                                         [.] 0x000000000018537e
     0.01%  python   python3.10                                         [.] 0x000000000018f39e
     0.01%  python   python3.10                                         [.] 0x00000000001a4900
     0.01%  python   python3.10                                         [.] 0x00000000001a7346
     0.01%  python   python3.10                                         [.] 0x000000000022075d
     0.01%  python   [kernel.kallsyms]                                  [k] __lruvec_stat_mod_folio
     0.01%  python   [kernel.kallsyms]                                  [k] do_anonymous_page
     0.01%  python   [kernel.kallsyms]                                  [k] filldir64
     0.01%  python   [kernel.kallsyms]                                  [k] half_md4_transform
     0.01%  python   [kernel.kallsyms]                                  [k] handle_mm_fault
     0.01%  python   [kernel.kallsyms]                                  [k] handle_pte_fault
     0.01%  python   [kernel.kallsyms]                                  [k] lock_vma_under_rcu
     0.01%  python   [kernel.kallsyms]                                  [k] next_uptodate_folio
     0.01%  python   [kernel.kallsyms]                                  [k] should_flush_tlb
     0.01%  python   [kernel.kallsyms]                                  [k] x64_sys_call
     0.01%  python   _backend_agg.cpython-310-x86_64-linux-gnu.so       [.] agg::math_stroke<agg::pod_bvector<agg::point_base<double>, 6u> >::calc_join(agg::pod_bvector<agg::point_base<double>, 6u>&, agg::vertex_dist const&, agg::vertex_dist const&, agg::vertex_dist const&, double, double)
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_AssignFromCache_Recursive
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_Scalar
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] array_item
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] is_anyscalar_exact
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] npyiter_copy_from_buffers
     0.01%  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] npyiter_fill_axisdata
     0.01%  python   ld-linux-x86-64.so.2                               [.] _dl_map_object
     0.01%  python   libc.so.6                                          [.] __errno_location
     0.01%  python   libc.so.6                                          [.] read
     0.01%  python   libc.so.6                                          [.] realloc
     0.01%  python   python3.10                                         [.] PyMember_SetOne
     0.01%  python   python3.10                                         [.] PySet_Contains
     0.01%  python   python3.10                                         [.] PyTuple_Pack
     0.01%  python   python3.10                                         [.] _PyErr_NormalizeException
     0.01%  python   python3.10                                         [.] _PyModule_ClearDict
     0.01%  python   python3.10                                         [.] _PyStack_AsDict
     0.01%  python   python3.10                                         [.] 0x0000000000153c86
     0.01%  python   python3.10                                         [.] 0x000000000015c4f4
     0.01%  python   python3.10                                         [.] 0x000000000015d617
     0.01%  python   python3.10                                         [.] 0x000000000015d7e5
     0.01%  python   python3.10                                         [.] 0x000000000015e059
     0.01%  python   python3.10                                         [.] 0x000000000015e218
     0.01%  python   python3.10                                         [.] 0x000000000015ee48
     0.01%  python   python3.10                                         [.] 0x000000000015ee53
     0.01%  python   python3.10                                         [.] 0x000000000015eeb2
     0.01%  python   python3.10                                         [.] 0x0000000000167cf8
     0.01%  python   python3.10                                         [.] 0x0000000000168aa7
